course,EX,A,B,C,D,P,F,session
CE29204-TRANSPORTATION ENGINEERING LABORATORY ,15,67,23,4,2,0,0,Spring 22
CE30201-PAVEMENT ENGINEERING ,13,19,22,22,20,13,0,Autumn 22
CE30203-GEOTECHNICAL ENGINEERING ,2,11,12,18,16,31,15,Autumn 22
CE30205-WATER AND WASTEWATER ENGINEERING ,3,7,43,42,14,0,0,Autumn 22
CE32201-MATRIX STRUCTURAL ANALYSIS ,13,43,22,15,12,1,0,Autumn 22
CE39007-CONCRETE LABORATORY ,24,37,36,10,1,0,0,Autumn 22
CE39011-W & W.W. ENGINEERING LABORATORY ,0,13,70,26,0,0,0,Autumn 22
CE39203-GEOTECHNICAL ENGINEERING LABORATORY ,10,33,48,17,0,0,0,Autumn 22
PH21201-CLASSICAL DYNAMICS AND SPECIAL RELATIVITY ,0,1,0,0,2,3,1,Autumn 22
CE61003- ,0,1,0,0,0,0,0,Autumn 23
CH21204-HEAT TRANSFER ,0,3,111,6,3,1,0,Spring 22
CH21206-REACTION ENGINEERING ,11,88,21,2,0,1,0,Spring 22
CH21208-INSTRUMENTATION AND PROCESS CONTROL ,3,8,29,50,21,13,0,Spring 22
CH29202-FLUID FLOW LABORATORY AND DESIGN ,2,63,52,6,0,0,0,Spring 22
CH30014-CHEMICAL PROCESS TECHNOLOGY ,4,14,27,23,34,16,4,Autumn 22
CH31010-MASS TRANSFER II ,11,19,32,21,28,11,1,Autumn 22
CH31203-COMPUTER AIDED PROCESS ENGINEERING ,6,19,13,31,39,13,1,Autumn 22
CH39015-MECHANICAL OPERATIONS & HEAT TRANSFER LABORATORY ,12,51,30,21,7,0,1,Autumn 22
CH39020-INSTRUMENTATION AND PROCESS CONTROL LABORATORY ,19,42,41,18,2,0,1,Autumn 22
CH39023-PROCESS EQUIPMENT DESIGN-I ,17,60,42,3,0,1,0,Autumn 22
MA20203-THEORY OF PARTIAL DIFFERENTIAL EQUATIONS ,70,55,83,85,90,113,26,Autumn 22
EC60007- ,0,1,0,0,0,0,0,Autumn 23
ES61207- ,1,0,0,0,0,1,0,Autumn 22
PH31009-ELECTRONICS FOR PHYSICISTS ,0,0,1,0,0,0,0,Autumn 22
CS20202-SOFTWARE ENGINEERING ,37,51,46,10,7,2,1,Spring 22
CS21204-FORMAL LANGUAGE AND AUTOMATA THEORY ,9,31,26,39,24,23,1,Spring 22
CS29202-SOFTWARE ENGINEERING LABORATORY ,40,54,35,15,7,2,1,Spring 22
CS29206-SYSTEMS PROGRAMMING LABORATORY ,12,49,44,18,21,9,2,Spring 22
RD30011-RURAL INFRASTRUCTURE DEVELOPMENT AND MANAGEMENT ,6,11,7,3,1,0,0,Spring 22
CS31003-COMPILERS ,8,24,53,29,30,8,0,Autumn 22
CS31005-ALGORITHMS -II ,12,21,40,23,38,13,5,Autumn 22
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE ,13,30,38,42,19,10,0,Autumn 22
CS39001-COMPUTER ORGANIZATION LABORATORY ,82,48,18,4,0,0,0,Autumn 22
CS39003-COMPILERS LABORATORY ,53,65,29,5,0,0,0,Autumn 22
MA20008-STATISTICAL INFERENCE ,17,23,0,0,0,0,0,Spring 22
IE20202-DATA COMMUNICATION ,11,37,53,22,11,0,1,Spring 22
HS30036-INTERCULTURAL COMMUNICATION ,1,9,2,0,0,0,0,Autumn 22
MA41024-INFORMATION AND CODING THEORY ,2,0,0,0,3,1,0,Spring 22
MA51108-ADVANCED COMPLEX ANALYSIS ,0,1,0,0,0,0,0,Spring 22
HS30037-PETROLEUM ECONOMICS AND MANAGEMENT ,0,1,0,0,0,0,0,Autumn 22
MA41108-STATISTICAL INFERENCE ,2,2,0,0,0,0,1,Spring 22
EE21204-CONTROL SYSTEM ENGINEERING ,11,31,58,48,16,3,2,Spring 22
CY20202-PHYSICAL CHEMISTRY II ,1,4,12,7,3,0,1,Spring 22
CY20204-CHEMISTRY OF 3D ELEMENTS ,4,7,11,4,2,0,0,Spring 22
CY20206-REAGENTS AND REACTIVITY ,3,9,4,7,4,1,0,Spring 22
CY29202-ORGANIC CHEMISTRY LABORATORY I ,2,9,7,3,7,0,0,Spring 22
CY29204-INORGANIC QUALITATIVE ANALYSIS LABORATORY ,4,21,2,1,0,0,0,Spring 22
"CY30201-CHEMISTRY OF MAIN GROUP ELEMENTS: RING, CHAINS, CLUSTERS ",4,9,9,2,3,0,0,Autumn 22
CY39001-PHYSICAL CHEMISTRY LABORATORY II ,6,20,2,0,0,0,0,Autumn 22
CY39003-ORGANIC CHEMISTRY LABORATORY II ,8,12,5,3,0,0,0,Autumn 22
CY41009-INTRODUCTION TO QUANTUM CHEMISTRY & SPECTROSCOPY ,1,5,3,6,4,7,2,Autumn 22
CY41201-SPECTROSCOPIC METHODS OF STRUCTURE DETERMINATION ,2,4,5,7,4,5,1,Autumn 22
"CY41215-INORGANIC CHEMISTRY: PRINCIPLE, STRUCTURE AND REACTIVITY ",5,4,7,5,4,3,0,Autumn 22
CY60004- ,0,0,0,0,0,1,0,Spring 22
CY60101- ,0,0,0,0,0,1,0,Spring 22
EC21202-DIGITAL ELECTRONIC CIRCUITS ,17,57,100,90,52,15,2,Spring 22
EC21204-LINEAR ALGEBRA AND OPTIMIZATION MODELS ,0,7,49,68,35,5,0,Spring 22
EC21208-SIGNALS AND SYSTEMS ,7,29,23,45,41,18,1,Spring 22
EC29202-DIGITAL CIRCUITS LABORATORY ,97,114,66,43,8,2,3,Spring 22
EC31005-RF & MICROWAVE ENGINEERING ,15,27,33,32,40,15,0,Autumn 22
EC31201-DIGITAL SIGNAL PROCESSING- I ,34,43,35,22,17,7,4,Autumn 22
EC31203-COMMUNICATION-I ,17,28,56,37,18,6,0,Autumn 22
EC31205-ALGORITHMS ,19,21,30,47,36,9,0,Autumn 22
EC39001-ANALOG COMMUNICATIONS LAB. ,25,62,58,16,1,0,0,Autumn 22
EC39005-MICROWAVE LABORATORY ,9,66,66,16,3,1,0,Autumn 22
EC39201-DSP LABORATORY ,48,63,32,18,0,0,0,Autumn 22
TE30002-INTRODUCTION TO WIRELESS COMMUNICATIONS ,1,2,0,0,0,0,0,Spring 22
EE21202-MEASUREMENT AND ELECTRONIC INSTRUMENTS ,2,14,27,83,36,9,0,Spring 22
EE21206-ELECTRICAL MACHINES ,0,4,10,74,28,7,2,Spring 22
EE29202-MEASUREMENT AND ELECTRONIC INSTRUMENTS LABORATORY ,22,62,59,22,4,0,1,Spring 22
EE29206-ELECTRICAL MACHINES LABORATORY ,13,58,33,11,3,3,0,Spring 22
EE31009-CONTROL SYSTEM ENGINEERING ,5,31,32,46,36,18,1,Autumn 22
EE31011-POWER ELECTRONICS ,5,19,38,31,17,8,4,Autumn 22
EE39006-POWER ELECTRONICS LAB. ,27,55,26,12,2,0,0,Autumn 22
EE39009-CONTROL AND INSTRUMENTATION LAB. ,15,61,59,30,5,0,0,Autumn 22
EE39203-DIGITAL SIGNAL PROCESSING LABORATORY ,25,59,51,19,7,4,0,Autumn 22
PH21203-ELECTROMAGNETISM ,3,1,6,12,9,6,1,Autumn 22
MT21201-INTRODUCTION TO ENGINEERING MATERIALS ,0,6,15,29,16,36,0,Autumn 22
MA20204-APPLIED COMPUTATIONAL METHODS ,22,20,37,48,19,4,0,Spring 22
ME29202-MECHATRONICS LABORATORY ,23,87,62,13,4,0,0,Spring 22
CS60012- ,1,0,0,0,0,0,0,Spring 22
MS60009- ,1,2,1,1,0,0,0,Spring 22
EX28202-FIELD WORK ,5,6,6,1,2,0,0,Spring 22
GG20202-STRUCTURAL GEOLOGY ,4,4,19,21,6,2,0,Spring 22
GG20204-PALEONTOLOGY AND  STRATIGRAPHY ,1,4,10,6,0,0,0,Spring 22
GG20206-PETROLOGY ,0,1,1,8,7,3,0,Spring 22
GG29202-STRUCTURAL GEOLOGY LABORATORY ,13,23,12,4,3,1,0,Spring 22
GG29204-DETERMINATIVE MINERALOGY LABORATORY ,0,8,22,20,5,1,0,Spring 22
GG21211-GEOPHYSICAL FIELD THEORY ,2,2,3,4,4,5,0,Autumn 22
GG30203-ELECTRICAL METHODS OF PROSPECTING ,1,1,2,3,2,6,5,Autumn 22
GG31003-MINERAL RESOURCES ,2,3,4,1,7,3,0,Autumn 22
GG31201-SEISMOLOGY ,0,0,0,0,2,9,9,Autumn 22
GG39209-ELECTRICAL METHODS LAB. ,0,2,8,6,4,0,0,Autumn 22
HS21205-MACROECONOMICS I ,0,0,0,3,4,0,1,Autumn 22
HS69013- ,0,1,0,0,0,0,0,Autumn 22
EE39201-INSTRUMENTATION SYSTEM DESIGN-1 ,4,17,16,9,1,0,0,Autumn 22
IE31001-INSTRUMENTATION DEVICES ,4,10,15,8,8,2,0,Autumn 22
IE39001-INSTRUMENTATION DEVICES LABORATORY ,5,14,11,17,0,0,0,Autumn 22
IM21202-MANAGEMENT OF INVENTORY SYSTEMS ,10,26,31,12,0,0,0,Spring 22
IM29202-WORK SYSTEM DESIGN LABORATORY ,33,46,0,0,0,0,0,Spring 22
IM29204-OPERATIONS RESEARCH LABORATORY ,45,25,5,0,3,1,0,Spring 22
IM31005-QUALITY DESIGN AND CONTROL ,7,10,26,20,10,5,1,Autumn 22
IM31006-SIMULATION ,6,12,21,21,14,5,0,Autumn 22
IM31201-SUPPLY CHAIN MANAGEMENT ,8,20,17,17,13,4,0,Autumn 22
IM31203-PRODUCTION PLANNING AND CONTROL ,8,14,31,13,7,6,0,Autumn 22
IM39005-QUALITY DESIGN AND CONTROL LABORATORY ,49,30,0,0,0,0,0,Autumn 22
IM39201-SIMULATION LAB ,44,30,4,1,0,0,0,Autumn 22
MA41022-PARTIAL DIFFERENTIAL EQUATIONS ,0,4,11,14,10,0,0,Spring 22
BM60203- ,0,0,0,1,0,0,0,Autumn 22
GG20208-THERMODYNAMICS OF GEOLOGICAL SYSTEMS ,4,6,8,10,6,2,0,Spring 22
GG28202-FIELD WORK ,12,11,6,3,4,0,0,Spring 22
AR20201-HISTORY OF ARCHITECTURE II ,2,25,14,3,0,2,0,Autumn 22
GG30217-ENGINEERING GEOLOGY ,2,5,7,5,9,8,0,Autumn 22
GG31005-MINERAL RESOURCES ,1,1,6,6,7,14,0,Autumn 22
GG31009-METAMORPHIC PETROLOGY ,1,1,1,4,15,14,0,Autumn 22
GG39009-METAMORPHIC PETROLOGY LAB. ,2,5,12,5,5,7,0,Autumn 22
GG39211-ENGINEERING GEOLOGY LAB. ,1,6,9,8,8,3,0,Autumn 22
GG49001-GEOCHEMISTRY LAB. ,17,13,5,0,0,0,0,Autumn 22
CL60004- ,0,0,0,1,0,0,0,Spring 22
ME21201-FLUID MECHANICS ,8,20,39,61,88,79,29,Autumn 22
HS20204-STATISTICS FOR ECONOMICS ,5,14,38,8,0,0,0,Spring 22
HS21202-MICROECONOMICS II ,7,27,22,8,1,0,0,Spring 22
HS21204-MACROECONOMICS II ,5,16,32,11,1,0,0,Spring 22
HS21206-DEVELOPMENT ECONOMICS ,2,10,34,19,0,0,0,Spring 22
HS30207-ECONOMETRIC ANALYSIS II ,5,23,19,12,6,0,0,Autumn 22
HS31201-PUBLIC FINANCE ,3,11,28,21,1,0,1,Autumn 22
HS39203-ECONOMETRIC ANALYSIS II LAB ,12,27,25,1,0,0,0,Autumn 22
HS60261- ,6,10,36,8,4,1,0,Autumn 22
BT60006- ,0,1,0,0,0,0,0,Spring 22
MA29202-NUMERICAL METHODS LABORATORY ,1,14,21,21,13,3,1,Spring 22
MA39207-OPTIMIZATION TECHNIQUES LAB ,22,36,16,0,0,0,0,Autumn 22
MA69201- ,3,10,33,18,10,0,0,Autumn 22
EG30002-ENERGY CONVERSION PROCESSES ,5,10,14,5,0,2,0,Spring 22
EM29201-ECONOMIC DATA ANALYSIS LABORATORY ,6,23,9,3,6,20,0,Autumn 22
IM20204-OPERATIONS RESEARCH ,11,52,118,50,17,7,2,Spring 22
ME29002-MECHANISM SESSIONAL ,9,99,115,28,5,0,1,Autumn 22
ME30005-HEAT TRANSFER ,17,50,72,60,31,21,5,Autumn 22
ME30602-DESIGN OF MACHINE ELEMENTS ,20,38,80,63,34,18,2,Autumn 22
"ME31201-CASTING, FORMING AND WELDING ",7,29,69,75,55,18,4,Autumn 22
ME31203-KINEMATICS AND KINETICS OF MACHINES ,14,31,54,64,48,44,2,Autumn 22
"ME39201-CASTING, FORMING AND WELDING LAB ",3,97,123,33,0,0,1,Autumn 22
MT30001-MATERIALS ENGINEERING ,20,118,74,36,5,3,1,Autumn 22
MF41601-SOFT COMPUTING ,0,2,0,0,0,0,0,Autumn 23
HS29201-ECONOMIC DATA ANALYSIS LABORATORY ,0,3,0,0,1,3,0,Autumn 22
ME29204-WORKSHOP PRACTICE ,3,44,18,5,0,0,0,Spring 22
MA41207-MATHEMATICAL ANALYSIS ,0,0,1,0,0,0,0,Autumn 22
RD30005-FUNDAMENTALS OF RURAL INNOVATION AND MANAGEMENT ,0,5,4,1,1,0,0,Spring 22
MT20202-MATERIALS PROCESSING ,2,3,43,16,11,1,0,Spring 22
MT20204-COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES ,4,10,19,38,3,2,0,Spring 22
MT21202-DEFORMATION BEHAVIOUR OF MATERIALS ,10,30,30,6,0,0,0,Spring 22
MT21204-TRANSPORT PHENOMENA IN METALLURGICAL PROCESSES ,2,4,13,20,24,13,0,Spring 22
MT29202-MATERIALS PROCESSING LABORATORY ,9,37,25,4,1,0,0,Spring 22
MT29204-COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES LABORATORY ,6,26,22,17,4,1,0,Spring 22
"MT31007-CREEP, FATIGUE AND FRACTURE ",7,8,16,25,13,7,0,Autumn 22
MT31009-MECHANICAL WORKING OF MATERIALS ,19,22,22,5,7,1,0,Autumn 22
MT31015-PRINCIPLES OF EXTRACTIVE METALLURGY ,0,4,10,21,32,5,3,Autumn 22
MT31017-PHASE TRANSFORMATION AND HEAT TREATMENT OF MATERIALS ,5,2,8,9,10,38,2,Autumn 22
MT39005-HEAT TREATMENT OF MATERIALS LAB. ,7,13,34,15,7,0,0,Autumn 22
MT39009-MECHANICAL TESTING AND WORKING LAB. ,19,33,24,0,0,0,0,Autumn 22
MI21202-MINE SURVEYING AND GEOINFORMATICS ,18,41,10,6,5,0,0,Spring 22
MI29202-MINE SURVEYING LABORATORY ,11,60,6,2,0,0,0,Spring 22
MI60226- ,9,1,18,18,4,1,0,Spring 22
MI30201-UNDERGROUND COAL MINING ,11,17,19,16,13,2,0,Autumn 22
MI30205-UNDERGROUND METAL MINING ,6,13,27,18,10,4,0,Autumn 22
MI31203-MINING MACHINERY AND AUTOMATION ,13,32,20,9,3,1,0,Autumn 22
MI31207-VENTILATION AND CLIMATE CONTROL ,8,14,12,24,16,4,0,Autumn 22
MI31211-MATERIAL HANDLING AND MINERAL ENGINEERING ,9,17,19,21,14,0,0,Autumn 22
MI39201-VENTILATION LABORATORY ,13,27,31,6,1,0,0,Autumn 22
MI39203-MINING MACHINERY LABORATORY ,21,41,15,1,0,0,0,Autumn 22
MI39205-MINERAL ENGINEERING LABORATORY ,19,55,4,0,0,0,0,Autumn 22
MI60242- ,0,6,0,0,0,0,0,Spring 22
MI60218- ,1,0,0,1,0,0,0,Spring 22
RT30019-SCI AND TECH. RUBBER & RUBBER LIKE MATERIALS ,0,1,0,0,0,1,0,Spring 22
NA20202-MARINE HYDRODYNAMICS ,3,24,19,4,5,3,0,Spring 22
NA20204-SHIP CONSTRUCTION AND PRODUCTION ,2,16,26,8,5,1,0,Spring 22
NA29202-HYDROSTATICS LABORATORY ,6,9,18,16,8,0,1,Spring 22
NA29204-LINESPLAN LABORATORY ,8,21,12,11,2,2,2,Spring 22
NA21004-SHIP STRENGTH ,8,7,13,14,8,7,0,Autumn 22
NA30201-PROPULSION ,4,13,14,16,11,0,0,Autumn 22
NA30203-RESISTANCE ,1,3,11,12,16,14,1,Autumn 22
NA31001-ELEMENTS OF OCEAN ENGINEERING ,4,5,20,16,8,5,0,Autumn 22
NA31004-CAD-CAM MARINE DESIGN & PRODUCTION ,1,1,8,8,8,27,5,Autumn 22
NA39011-HYDRODYNAMICS LABORATORY ,11,37,9,1,0,0,0,Autumn 22
NA39201-OCEAN ENGINEERING LAB ,2,18,33,4,0,0,0,Autumn 22
PH20202-MATHEMATICAL METHODS I ,2,19,7,4,2,2,0,Spring 22
PH21202-THERMAL PHYSICS ,5,22,8,1,0,0,0,Spring 22
PH29202-THERMAL PHYSICS LABORATORY ,3,10,18,2,3,0,0,Spring 22
PH29204-OPTICS LABORATORY ,13,18,4,0,0,1,0,Spring 22
PH30201-COMPUTATIONAL PHYSICS ,2,13,11,7,1,2,0,Autumn 22
PH30207-MATHEMATICS FOR PHYSICS II ,1,6,5,7,10,7,0,Autumn 22
PH31205-ELECTRODYNAMICS ,1,1,3,7,10,14,0,Autumn 22
PH39201-MODERN PHYSICS LAB ,11,13,11,0,1,0,0,Autumn 22
PH39209-COMPUTATIONAL PHYSICS LAB ,16,9,6,2,2,1,0,Autumn 22
PH20101-FLUID MECHANICS AND ELASTICITY ,4,1,1,0,0,0,0,Spring 22
PH40008-PHYSICS OF RADIATION GENERATORS ,1,1,0,0,0,0,0,Spring 22
PH60411- ,0,1,5,1,0,0,0,Autumn 22
GG30205-X-RAY CRYSTALLOGRAPHY ,0,1,0,0,0,0,0,Autumn 22
PH52005-ORDER & CHAOS ,0,0,0,0,0,1,0,Spring 22
PH57004-PROJECT PART II ,0,0,0,0,0,0,1,Spring 22
PH58050-COMPREHENSIVE VIVA I ,0,0,0,1,0,0,0,Spring 22
PH59010-CONDENSED MATTER PHYSICS LAB-II ,1,0,0,0,0,0,0,Spring 22
BS10003-SCIENCE OF LIVING SYSTEMS ,56,353,324,95,30,4,0,Spring 22
CE13003-ENGINEERING DRAWING AND COMPUTER GRAPHICS ,106,201,390,129,23,6,7,Spring 22
CS10003-PROGAMMING AND DATA STRUCTURES ,163,214,260,150,84,25,4,Spring 22
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY ,176,232,252,113,77,29,22,Spring 22
CY11003-CHEMISTRY ,114,488,194,46,11,9,0,Spring 22
CY19003-CHEMISTRY LABORATORY ,486,297,53,20,2,4,0,Spring 22
EA10008-EXTRA ACADEMIC ACTIVITY-II ,365,867,406,100,26,25,14,Spring 22
HS13003-ENGLISH FOR COMMUNICATION ,131,446,264,47,13,0,0,Spring 22
"MA11004-LINEAR ALGEBRA, NUMERICAL AND COMPLEX ANALYSIS ",390,580,458,228,96,54,1,Spring 22
AE21201-INTRODUCTION TO AERODYNAMICS ,7,15,21,18,7,5,3,Autumn 22
AE21203-DYNAMICS FOR AEROSPACE ENGINEERS ,0,2,11,38,11,9,4,Autumn 22
AE21205-THERMODYNAMICS AND AEROSPACE PROPULSION SYSTEMS ,6,18,21,21,7,1,1,Autumn 22
CH21205-MECHANICAL OPERATIONS ,7,21,40,30,22,8,2,Autumn 22
EA10009-EXTRA ACADEMIC ACTIVITY-III ,431,530,369,193,92,66,34,Autumn 22
EC21201-BASIC ELECTRONICS ,39,92,80,70,73,150,20,Autumn 22
EC29201-BASIC ELECTRONICS LABORATORY ,135,239,71,61,13,1,1,Autumn 22
MA20201-NUMERICAL SOLUTION OF ORDINARY AND PDE ,13,15,31,29,33,29,3,Autumn 22
DY17003-DIY PROJECT ,325,443,87,20,18,9,5,Spring 22
EE11003-ELECTRICAL TECHNOLOGY ,53,147,303,185,172,44,4,Spring 22
EN19003-ENGINEERING LABORATORY ,14,362,397,98,23,12,2,Spring 22
EV10003-ENVIRONMENTAL SCIENCE ,297,300,177,97,23,13,1,Spring 22
ME11003-BASIC ENGINEERING MECHANICS ,83,168,184,224,173,73,3,Spring 22
PH11003-PHYSICS OF WAVES ,193,330,191,119,56,18,1,Spring 22
PH19003-PHYSICS LABORATORY ,179,449,163,70,18,26,3,Spring 22
MA60269- ,0,0,0,0,0,0,1,Autumn 22
AR51013-ENERGY AND ENVIRONMENTAL SYSTEMS FOR GREEN BUILDINGS ,4,1,0,0,0,0,0,Autumn 22
AR20203-ADVANCED BUILDING MATERIALS AND COMPOSITES ,8,17,11,2,1,1,0,Autumn 22
AG20201-SOIL TECHNOLOGY ,9,13,23,17,7,4,1,Autumn 22
AG20203-THEORY OF MACHINE ELEMENTS ,5,2,41,16,7,3,0,Autumn 22
AG29201-SOIL TECHNOLOGY LABORATORY ,8,41,23,2,0,0,0,Autumn 22
AG29203-AGRICULTURAL BIOTECHNOLOGY LABORATORY ,5,45,22,1,0,0,1,Autumn 22
AR10302-HISTORY OF ARCHITECTURE 1 ,2,33,4,0,0,0,0,Spring 22
AR10304-BUILDING MATERIALS ,9,26,4,0,0,0,0,Spring 22
AR13302-BASIC DESIGN 2 ,2,11,14,5,6,1,0,Spring 22
AR13304-DESCRIPTIVE GEOMETRY 2 ,13,18,6,1,1,0,0,Spring 22
AR20205-BUILDING CONSTRUCTION ,3,11,9,8,6,2,0,Autumn 22
AR20207-CLIMATOLOGY AND SOLAR ARCHITECTURE ,2,7,6,10,3,12,0,Autumn 22
AR23301-ARCHITECTURAL DESIGN I ,3,21,15,0,0,0,0,Autumn 22
AR23303-COMPUTER AIDED DESIGN AND SIMULATION ,10,19,13,1,1,0,0,Autumn 22
AR29201-BUILDING CONSTRUCTION SESSIONAL I ,0,3,23,11,2,0,0,Autumn 22
BT20201-INTRODUCTION TO BIOTECHNOLOGY ,3,9,10,16,12,9,0,Autumn 22
BT20203-BIOCHEMISTRY ,5,6,11,19,14,6,0,Autumn 22
BT20205-MICROBIOLOGY ,3,8,11,15,15,6,2,Autumn 22
BT20207-BIOCHEMICAL REACTION ENGINEERING AND BIOENERGETICS ,2,4,15,12,18,9,0,Autumn 22
BT29203-BIOCHEMISTRY LABORATORY ,18,18,22,1,1,0,0,Autumn 22
BT29205-MICROBIOLOGY LABORATORY ,15,31,14,0,0,0,0,Autumn 22
BT29207-BIOCHEMICAL ENGGINEERING LABORATORY ,3,23,25,9,0,0,0,Autumn 22
CR61017- ,0,0,0,0,1,0,0,Autumn 22
CE20201-INTRODUCTION TO CIVIL ENGINEERING AND MATERIALS ,2,16,47,24,13,2,2,Autumn 22
CE20203-GEOMATICS ,11,38,37,15,4,0,1,Autumn 22
CE21201-SOLID MECHANICS ,9,18,26,48,45,37,5,Autumn 22
CE21203-HYDRAULICS ,13,16,38,33,5,0,1,Autumn 22
CE29203-HYDRAULIC AND WATER RESOURCES ENGINEERING LABORATORY ,8,48,42,5,2,1,0,Autumn 22
CH21201-CHEMICAL ENGINEERING THERMODYNAMICS ,3,16,38,34,12,20,4,Autumn 22
CH21207-FLUID MECHANICS ,6,27,50,31,8,1,0,Autumn 22
CH29201-FUEL LABORATORY ,11,88,22,4,1,0,0,Autumn 22
EM21203-MICROECONOMICS I ,5,17,13,23,6,3,0,Autumn 22
CS21201-DISCRETE STRUCTURES ,14,31,50,27,15,10,12,Autumn 22
CS21203-ALGORITHMS - I ,19,32,42,23,20,13,4,Autumn 22
CS29203-ALGORITHMS LABORATORY ,18,32,39,29,22,11,2,Autumn 22
EE21201-SIGNALS AND SYSTEMS ,8,67,107,94,31,10,4,Autumn 22
CY21201-PHYSICAL CHEMISTRY I ,0,0,0,4,9,7,13,Autumn 22
CY21203-MOLECULAR STRUCTURE AND BONDING ,3,7,9,8,4,2,0,Autumn 22
CY21205-FUNDAMENTALS OF ORGANIC REACTIONS ,4,6,5,6,4,6,2,Autumn 22
CY29201-PHYSICAL CHEMISTRY LABORATORY I ,6,14,11,2,0,0,0,Autumn 22
EA10003-EXTRA ACADEMIC ACTIVITY-III ,5,10,3,3,2,3,1,Autumn 22
CY49008-ADVANCED PHYSICAL CHEMISTRY LAB. ,13,21,15,5,0,0,0,Spring 22
CY58010-VIVA VOCE ,0,5,27,14,8,0,0,Spring 22
CY58003-SEMINAR ,29,16,7,1,1,0,0,Autumn 22
CY60103- ,1,0,2,1,1,1,0,Autumn 22
CY60013- ,0,2,0,1,0,0,0,Autumn 22
BS61001- ,0,1,1,0,0,0,0,Autumn 22
EC21203-NETWORK THEORY ,13,28,39,42,22,20,1,Autumn 22
EC21205-SEMICONDUCTOR DEVICES ,27,31,88,13,5,0,1,Autumn 22
EC21207-ANALOG ELECTRONIC CIRCUITS ,28,30,42,29,15,19,3,Autumn 22
EC29203-NETWORK THEORY LABORATORY ,35,57,41,25,5,2,0,Autumn 22
EC29205-DEVICES LABORATORY ,30,68,55,8,2,2,0,Autumn 22
EC29207-ANALOG  CIRCUITS LABORATORY ,22,60,56,19,6,0,2,Autumn 22
EE21203-NETWORK ANALYSIS ,2,14,43,41,37,27,4,Autumn 22
EE21205-ANALOG ELECTRONIC CIRCUITS ,5,19,37,30,39,29,8,Autumn 22
EE29201-SIGNALS AND NETWORKS LABORATORY ,15,65,65,14,8,1,0,Autumn 22
CS21001-DISCRETE STRUCTURES ,0,0,3,0,0,0,0,Autumn 22
AE21001-INTRODUCTION TO AERODYNAMICS ,0,1,1,1,0,0,0,Autumn 22
EX30004-GEOPHYSICAL FIELD THEORY ,1,1,3,5,4,6,0,Autumn 22
GG20005-INTRODUCTION TO EARTH SCIENCE ,1,0,4,4,5,4,2,Autumn 22
GG20205-INTRODUCTORY GEOPHYSICS ,3,9,6,11,11,13,2,Autumn 22
GG20211-MINERALOGY ,9,6,9,10,9,12,0,Autumn 22
GG29005-INTRODUCTION TO EARTH SCIENCE LAB. ,1,3,6,6,3,1,0,Autumn 22
GG21201-INTRODUCTION TO EARTH SCIENCE ,0,1,0,0,1,2,0,Autumn 22
GG21205-MINERALOGY ,1,0,0,1,0,2,0,Autumn 22
GG29201-INTRODUCTION TO EARTH SCIENCE LABORATORY ,0,0,1,1,1,0,1,Autumn 22
EX20201-PHYSICS OF THE SOLID EARTH ,0,0,1,0,1,1,0,Autumn 22
EX40006-GEOPHYSICAL SIGNAL PROCESSING ,2,9,8,3,2,0,0,Spring 22
EX40008-TIME VARYING FIELD AND ELECTROMAGNETIC METHODS ,0,5,6,8,4,1,0,Spring 22
EX40010-GRAVITY & MAGNETIC METHODS OF PROSPECTING ,3,2,6,8,4,1,0,Spring 22
EX48014-FIELD GEOPHYSICS(SEISMIC METHODS) ,24,0,0,0,0,0,0,Spring 22
EX48016-FIELD GEOPHYSICS(ELECT AND ELECTROMAG METHODS) ,23,0,1,0,0,0,0,Spring 22
EX49008-TIME VARYING FIELD AND ELECTROMAGNETIC METHODS LAB ,1,2,4,10,3,4,0,Spring 22
EX49010-GRAVITY & MAGNETIC METHODS OF  PROSPECTING LAB. ,10,13,0,0,0,1,0,Spring 22
EX58004-COMPREHENSIVE VIVA VOCE ,4,4,7,7,2,0,0,Spring 22
GG40010-REMOTE SENSING & GIS ,23,27,10,1,0,0,0,Spring 22
GG49010-REMOTE SENSING & GIS LAB. ,28,24,8,1,0,0,0,Spring 22
EX51007-RADIOMETRIC METHODS OF PROSPECTING ,2,5,9,7,0,0,1,Autumn 22
EX57005-PROJECT ,13,9,1,0,0,0,1,Autumn 22
EX58001-SEMINAR ,8,11,3,1,0,0,1,Autumn 22
EX59007-RADIOMETRIC METHODS OF PROSPECTING LAB. ,1,22,0,0,0,0,1,Autumn 22
GG30207-COMPUTER APPLICATIONS IN GEOPHYSICS ,2,0,0,0,0,0,1,Autumn 22
GG50009-GROUNDWATER & ENGINEERING GEOLOGY ,8,24,11,12,5,0,1,Autumn 22
"GG59009-GROUNDWATER & ENGINEERING GEOLOGY LAB.
 ",6,25,21,7,1,0,1,Autumn 22
IM21201-OPERATIONS RESEARCH I ,18,28,31,29,23,17,1,Autumn 22
IM21203-ENGINEERING ECONOMY ,14,35,18,9,2,0,0,Autumn 22
